date,style_id,category,price_level,true_state,view_uv,detail_uv,tryon_uv,tryon_result_uv,want_uv,want_after_tryon_uv,confirm_direct_uv,confirm_detail_uv,confirm_after_tryon_uv,confirm_from_want_uv,total_confirm_uv
2026-03-15,S0023,solid,high,Cold_AfterTryon,328,67,88,76,28,4,4,0,0,1,5
2026-03-16,S0023,solid,high,Cold_AfterTryon,284,46,84,77,19,1,2,0,1,3,6
2026-03-17,S0023,solid,high,Cold_AfterTryon,376,84,126,117,26,3,2,3,0,2,7
2026-03-18,S0023,solid,high,Cold_AfterTryon,283,49,80,78,19,0,5,0,1,3,9
2026-03-19,S0023,solid,high,Cold_AfterTryon,259,45,75,68,19,3,3,1,2,0,6
2026-03-20,S0023,solid,high,Cold_AfterTryon,215,44,68,61,20,1,2,0,0,2,4
2026-03-21,S0023,solid,high,Cold_AfterTryon,233,51,75,72,21,1,3,0,2,1,6
2026-03-22,S0023,solid,high,Cold_AfterTryon,294,46,86,74,19,2,4,1,1,1,7
2026-03-23,S0023,solid,high,Cold_AfterTryon,224,41,85,70,24,6,2,0,1,1,4
2026-03-24,S0023,solid,high,Cold_AfterTryon,247,39,68,59,19,4,1,0,0,2,3
2026-03-25,S0023,solid,high,Cold_AfterTryon,239,48,67,59,21,1,2,0,1,1,4
2026-03-26,S0023,solid,high,Cold_AfterTryon,328,61,105,95,31,3,2,2,2,3,9
2026-03-27,S0023,solid,high,Cold_AfterTryon,352,72,133,115,38,9,4,1,2,6,13
2026-03-28,S0023,solid,high,Cold_AfterTryon,240,37,68,59,21,3,0,0,1,0,1
2026-03-29,S0023,solid,high,Cold_AfterTryon,302,57,115,105,18,4,2,1,0,0,3
2026-03-30,S0023,solid,high,Cold_AfterTryon,235,35,77,69,14,2,1,0,1,1,3
2026-03-31,S0023,solid,high,Cold_AfterTryon,341,71,109,100,22,3,7,2,0,1,10
2026-04-01,S0023,solid,high,Cold_AfterTryon,163,31,79,73,10,3,1,1,0,1,3
2026-04-02,S0023,solid,high,Cold_AfterTryon,287,55,67,61,22,2,2,2,0,1,5
2026-04-03,S0023,solid,high,Cold_AfterTryon,332,54,94,85,28,2,1,1,2,4,8
2026-04-04,S0023,solid,high,Cold_AfterTryon,285,45,86,75,14,4,4,1,1,1,7
2026-04-05,S0023,solid,high,Cold_AfterTryon,242,44,64,59,20,4,2,0,2,2,6
2026-04-06,S0023,solid,high,Cold_AfterTryon,239,22,77,68,20,7,1,1,1,3,6
2026-04-07,S0023,solid,high,Cold_AfterTryon,233,45,54,44,22,2,2,2,0,1,5
2026-04-08,S0023,solid,high,Cold_AfterTryon,203,41,65,59,21,4,1,1,2,1,5
2026-04-09,S0023,solid,high,Cold_AfterTryon,278,44,73,65,14,1,2,0,4,1,7
2026-04-10,S0023,solid,high,Cold_AfterTryon,220,39,49,42,15,0,3,0,2,3,8
2026-04-11,S0023,solid,high,Cold_AfterTryon,217,40,78,71,18,4,3,0,0,3,6
2026-04-12,S0023,solid,high,Cold_AfterTryon,288,50,96,86,17,3,4,0,0,0,4
2026-04-13,S0023,solid,high,Cold_AfterTryon,207,51,43,37,15,0,4,2,0,3,9
2026-04-14,S0023,solid,high,Cold_AfterTryon,324,59,108,96,26,2,2,1,3,4,10
2026-04-15,S0023,solid,high,Cold_AfterTryon,315,53,98,89,31,5,1,0,0,4,5
2026-04-16,S0023,solid,high,Cold_AfterTryon,177,31,45,44,13,2,1,0,0,2,3
2026-04-17,S0023,solid,high,Cold_AfterTryon,249,56,74,64,19,2,3,0,0,3,6
2026-04-18,S0023,solid,high,Cold_AfterTryon,362,81,94,79,25,5,3,0,0,0,3
2026-04-19,S0023,solid,high,Cold_AfterTryon,429,77,155,136,34,5,4,1,3,2,10
2026-04-20,S0023,solid,high,Cold_AfterTryon,323,46,102,93,32,5,2,2,0,3,7
2026-04-21,S0023,solid,high,Cold_AfterTryon,261,56,69,64,26,2,3,2,0,2,7
2026-04-22,S0023,solid,high,Cold_AfterTryon,386,49,107,94,21,7,1,1,2,1,5
2026-04-23,S0023,solid,high,Cold_AfterTryon,390,78,144,134,41,11,4,2,4,3,13
2026-04-24,S0023,solid,high,Cold_AfterTryon,258,38,80,79,24,8,4,0,0,1,5
2026-04-25,S0023,solid,high,Cold_AfterTryon,292,42,102,92,24,2,1,2,2,0,5
2026-04-26,S0023,solid,high,Cold_AfterTryon,297,37,93,78,21,5,4,1,0,1,6
2026-04-27,S0023,solid,high,Cold_AfterTryon,258,51,66,59,26,5,2,1,0,1,4
2026-04-28,S0023,solid,high,Cold_AfterTryon,205,39,64,59,17,6,1,1,1,1,4
2026-04-29,S0023,solid,high,Cold_AfterTryon,191,41,62,56,12,2,1,1,0,0,2
2026-04-30,S0023,solid,high,Cold_AfterTryon,234,40,84,73,25,4,2,1,0,3,6
2026-01-01,S0024,handpaint,mid,Cold_Detail,135,44,8,8,8,3,3,0,0,2,5
2026-01-02,S0024,handpaint,mid,Cold_Detail,223,54,13,12,9,1,1,1,1,0,3
2026-01-03,S0024,handpaint,mid,Cold_Detail,225,56,20,17,11,4,1,0,1,2,4
2026-01-04,S0024,handpaint,mid,Cold_Detail,232,60,11,10,13,0,1,0,0,1,2
2026-01-05,S0024,handpaint,mid,Cold_Detail,191,43,18,16,10,4,3,0,0,0,3
2026-01-06,S0024,handpaint,mid,Cold_Detail,139,39,15,13,8,1,1,0,1,1,3
2026-01-07,S0024,handpaint,mid,Cold_Detail,280,61,33,30,24,2,3,0,0,1,4
2026-01-08,S0024,handpaint,mid,Cold_Detail,228,59,21,20,22,3,1,0,2,3,6
2026-01-09,S0024,handpaint,mid,Cold_Detail,125,28,9,9,9,1,1,0,0,0,1
2026-01-10,S0024,handpaint,mid,Cold_Detail,231,54,22,18,10,0,2,0,0,0,2
2026-01-11,S0024,handpaint,mid,Cold_Detail,181,42,7,7,8,0,0,0,0,1,1
2026-01-12,S0024,handpaint,mid,Cold_Detail,210,54,15,15,15,0,3,0,0,3,6
2026-01-13,S0024,handpaint,mid,Cold_Detail,234,53,16,12,19,2,1,1,0,0,2
2026-01-14,S0024,handpaint,mid,Cold_Detail,172,38,17,13,9,1,1,1,0,0,2
2026-01-15,S0024,handpaint,mid,Cold_Detail,337,70,28,27,25,5,1,0,0,2,3
2026-01-16,S0024,handpaint,mid,Cold_Detail,112,33,7,6,6,1,0,0,0,1,1
2026-01-17,S0024,handpaint,mid,Cold_Detail,168,28,14,14,14,2,0,0,1,0,1
2026-01-18,S0024,handpaint,mid,Cold_Detail,135,27,15,14,9,2,0,0,1,1,2
2026-01-19,S0024,handpaint,mid,Cold_Detail,119,26,8,8,10,2,2,1,0,2,5
2026-01-20,S0024,handpaint,mid,Cold_Detail,143,29,11,11,15,2,2,1,1,1,5
2026-01-21,S0024,handpaint,mid,Cold_Detail,182,58,21,18,8,1,0,0,0,1,1
2026-01-22,S0024,handpaint,mid,Cold_Detail,138,32,6,6,7,1,0,0,0,0,0
2026-01-23,S0024,handpaint,mid,Cold_Detail,140,44,6,5,8,1,1,0,1,0,2
2026-01-24,S0024,handpaint,mid,Cold_Detail,256,68,22,20,14,0,1,0,0,1,2
2026-01-25,S0024,handpaint,mid,Cold_Detail,228,62,17,17,12,0,0,0,1,1,2
2026-01-26,S0024,handpaint,mid,Cold_Detail,137,35,14,13,9,2,0,0,1,0,1
2026-01-27,S0024,handpaint,mid,Cold_Detail,166,47,16,14,12,0,0,0,1,0,1
2026-01-28,S0024,handpaint,mid,Cold_Detail,187,50,8,7,16,2,0,0,0,2,2
2026-01-29,S0024,handpaint,mid,Cold_Detail,106,31,13,12,7,1,1,0,0,0,1
2026-01-30,S0024,handpaint,mid,Cold_Detail,207,40,12,10,14,3,2,2,1,0,5
2026-01-31,S0024,handpaint,mid,Cold_Detail,107,30,8,8,7,3,1,0,0,0,1
2026-02-01,S0024,handpaint,mid,Cold_Detail,134,34,10,8,5,1,1,0,0,0,1
2026-02-02,S0024,handpaint,mid,Cold_Detail,177,40,13,12,10,2,1,0,2,0,3
2026-02-03,S0024,handpaint,mid,Cold_Detail,191,62,16,15,12,3,0,0,1,0,1
2026-02-04,S0024,handpaint,mid,Cold_Detail,164,48,15,14,12,0,2,0,2,0,4
2026-02-05,S0024,handpaint,mid,Cold_Detail,199,46,23,22,19,2,2,0,2,1,5
2026-02-06,S0024,handpaint,mid,Cold_Detail,141,39,11,8,9,1,0,1,1,0,2
2026-02-07,S0024,handpaint,mid,Cold_Detail,193,52,23,23,16,3,1,0,3,3,7
2026-02-08,S0024,handpaint,mid,Cold_Detail,278,72,23,18,17,1,1,0,0,3,4
2026-02-09,S0024,handpaint,mid,Cold_Detail,186,59,19,15,13,1,1,0,1,3,5
2026-02-10,S0024,handpaint,mid,Cold_Detail,173,44,22,20,14,3,0,0,0,1,1
2026-02-11,S0024,handpaint,mid,Cold_Detail,123,23,12,12,9,3,1,0,0,0,1
2026-02-12,S0024,handpaint,mid,Cold_Detail,141,34,10,8,13,2,2,0,1,1,4
2026-02-13,S0024,handpaint,mid,Cold_Detail,286,76,19,18,28,1,1,1,0,2,4
2026-02-14,S0024,handpaint,mid,Cold_Detail,235,65,18,17,13,3,2,0,0,0,2
2026-02-15,S0024,handpaint,mid,Cold_Detail,206,42,17,17,19,2,0,0,1,0,1
2026-02-16,S0024,handpaint,mid,Cold_Detail,153,37,7,7,4,0,0,0,0,0,0
2026-02-17,S0024,handpaint,mid,Cold_Detail,196,37,23,22,7,1,1,0,0,0,1
2026-02-18,S0024,handpaint,mid,Cold_Detail,232,70,25,21,13,2,0,0,0,1,1
2026-02-19,S0024,handpaint,mid,Cold_Detail,295,86,23,22,34,5,0,1,0,1,2
2026-02-20,S0024,handpaint,mid,Cold_Detail,221,50,27,27,17,5,3,0,1,1,5
2026-02-21,S0024,handpaint,mid,Cold_Detail,147,32,12,12,14,3,0,0,1,0,1
2026-02-22,S0024,handpaint,mid,Cold_Detail,161,46,11,11,6,1,0,0,0,0,0
2026-02-23,S0024,handpaint,mid,Cold_Detail,234,44,24,23,13,0,1,1,1,0,3
2026-02-24,S0024,handpaint,mid,Cold_Detail,187,34,13,12,16,0,3,0,0,0,3
2026-02-25,S0024,handpaint,mid,Cold_Detail,227,44,17,17,15,3,0,0,0,0,0
2026-02-26,S0024,handpaint,mid,Cold_Detail,188,48,18,17,16,2,0,0,0,0,0
2026-02-27,S0024,handpaint,mid,Cold_Detail,271,63,27,22,22,5,0,0,0,1,1
2026-02-28,S0024,handpaint,mid,Cold_Detail,151,31,10,10,7,1,0,0,0,0,0
2026-03-01,S0024,handpaint,mid,Cold_Detail,203,60,14,11,15,4,0,0,0,1,1
2026-03-02,S0024,handpaint,mid,Cold_Detail,135,29,17,15,11,2,1,1,1,1,4
2026-03-03,S0024,handpaint,mid,Cold_Detail,295,68,28,23,27,3,0,1,2,0,3
2026-03-04,S0024,handpaint,mid,Cold_Detail,171,41,13,12,12,3,1,0,1,1,3
2026-03-05,S0024,handpaint,mid,Cold_Detail,275,55,15,12,13,0,0,2,0,2,4
2026-03-06,S0024,handpaint,mid,Cold_Detail,229,50,19,15,16,2,1,0,1,0,2
2026-03-07,S0024,handpaint,mid,Cold_Detail,122,23,12,11,7,3,0,0,0,2,2
2026-03-08,S0024,handpaint,mid,Cold_Detail,213,54,15,14,8,0,1,1,0,1,3
2026-03-09,S0024,handpaint,mid,Cold_Detail,179,49,10,9,12,2,2,3,0,1,6
2026-03-10,S0024,handpaint,mid,Cold_Detail,240,56,22,21,19,4,0,0,1,0,1
2026-03-11,S0024,handpaint,mid,Cold_Detail,132,39,9,9,8,2,0,0,1,0,1
2026-03-12,S0024,handpaint,mid,Cold_Detail,165,33,11,10,13,0,1,0,0,0,1
2026-03-13,S0024,handpaint,mid,Cold_Detail,283,73,20,19,22,3,0,1,0,2,3
2026-03-14,S0024,handpaint,mid,Cold_Detail,231,41,19,16,14,1,1,0,0,2,3
2026-03-15,S0024,handpaint,mid,Cold_Detail,157,34,23,19,16,3,3,0,0,0,3
2026-03-16,S0024,handpaint,mid,Cold_Detail,105,33,3,3,8,0,1,0,0,0,1
2026-03-17,S0024,handpaint,mid,Cold_Detail,232,54,21,20,18,4,0,0,2,1,3
2026-03-18,S0024,handpaint,mid,Cold_Detail,141,32,14,13,7,1,1,1,0,0,2
2026-03-19,S0024,handpaint,mid,Cold_Detail,133,28,4,3,6,0,1,0,0,0,1
2026-03-20,S0024,handpaint,mid,Cold_Detail,166,44,15,15,14,4,1,0,3,0,4
2026-03-21,S0024,handpaint,mid,Cold_Detail,188,46,10,9,14,0,3,0,0,1,4
2026-03-22,S0024,handpaint,mid,Cold_Detail,185,54,5,4,5,0,0,0,0,0,0
2026-03-23,S0024,handpaint,mid,Cold_Detail,269,71,25,22,29,1,1,0,0,0,1
2026-03-24,S0024,handpaint,mid,Cold_Detail,236,61,23,21,19,6,2,0,0,1,3
2026-03-25,S0024,handpaint,mid,Cold_Detail,200,43,19,18,15,4,2,0,0,0,2
2026-03-26,S0024,handpaint,mid,Cold_Detail,281,51,15,12,15,0,2,0,0,1,3
2026-03-27,S0024,handpaint,mid,Cold_Detail,109,24,6,6,7,0,1,0,0,0,1
2026-03-28,S0024,handpaint,mid,Cold_Detail,146,38,5,5,8,0,0,0,1,0,1
2026-03-29,S0024,handpaint,mid,Cold_Detail,187,30,24,22,10,4,3,2,0,1,6
2026-03-30,S0024,handpaint,mid,Cold_Detail,276,80,23,21,11,2,0,0,0,0,0
2026-03-31,S0024,handpaint,mid,Cold_Detail,124,33,8,6,5,1,0,0,1,0,1
2026-04-01,S0024,handpaint,mid,Cold_Detail,145,39,15,15,13,0,0,0,0,1,1
2026-04-02,S0024,handpaint,mid,Cold_Detail,138,26,9,8,10,0,0,1,1,0,2
2026-04-03,S0024,handpaint,mid,Cold_Detail,284,77,20,17,22,2,0,0,0,1,1
2026-04-04,S0024,handpaint,mid,Cold_Detail,215,38,20,18,9,2,0,0,2,0,2
2026-04-05,S0024,handpaint,mid,Cold_Detail,191,45,17,17,8,1,1,0,0,1,2
2026-04-06,S0024,handpaint,mid,Cold_Detail,163,43,15,12,7,0,0,1,0,0,1
2026-04-07,S0024,handpaint,mid,Cold_Detail,236,82,11,9,14,1,2,2,0,3,7
2026-04-08,S0024,handpaint,mid,Cold_Detail,190,47,10,9,6,1,1,1,3,0,5
2026-04-09,S0024,handpaint,mid,Cold_Detail,179,54,13,13,12,1,0,0,1,2,3
2026-04-10,S0024,handpaint,mid,Cold_Detail,370,115,38,36,16,3,4,0,1,1,6
2026-04-11,S0024,handpaint,mid,Cold_Detail,117,30,13,9,5,2,0,0,0,0,0
2026-04-12,S0024,handpaint,mid,Cold_Detail,273,83,37,35,25,6,1,1,0,0,2
2026-04-13,S0024,handpaint,mid,Cold_Detail,233,49,14,13,12,2,0,0,1,0,1
2026-04-14,S0024,handpaint,mid,Cold_Detail,132,33,13,10,11,3,0,0,1,0,1
2026-04-15,S0024,handpaint,mid,Cold_Detail,147,35,6,6,10,1,1,1,0,2,4
2026-04-16,S0024,handpaint,mid,Cold_Detail,174,41,18,17,12,2,3,0,0,0,3
2026-04-17,S0024,handpaint,mid,Cold_Detail,152,35,8,7,7,2,3,0,0,0,3
2026-04-18,S0024,handpaint,mid,Cold_Detail,211,50,24,21,11,2,0,1,2,0,3
2026-04-19,S0024,handpaint,mid,Cold_Detail,208,61,12,11,17,1,0,1,0,1,2
2026-04-20,S0024,handpaint,mid,Cold_Detail,200,75,21,20,18,4,1,0,0,0,1
2026-04-21,S0024,handpaint,mid,Cold_Detail,224,55,19,18,14,1,3,0,1,0,4
2026-04-22,S0024,handpaint,mid,Cold_Detail,205,31,17,17,7,3,1,0,0,1,2
2026-04-23,S0024,handpaint,mid,Cold_Detail,153,31,11,10,15,0,0,0,0,1,1
2026-04-24,S0024,handpaint,mid,Cold_Detail,194,48,15,12,16,3,0,0,0,1,1
2026-04-25,S0024,handpaint,mid,Cold_Detail,100,30,7,6,7,1,0,0,1,0,1
2026-04-26,S0024,handpaint,mid,Cold_Detail,387,88,29,26,20,2,1,0,1,3,5
2026-04-27,S0024,handpaint,mid,Cold_Detail,208,51,24,23,14,1,1,0,1,0,2
2026-04-28,S0024,handpaint,mid,Cold_Detail,211,53,11,11,10,2,0,0,0,0,0
2026-04-29,S0024,handpaint,mid,Cold_Detail,115,27,10,9,6,1,0,0,0,0,0
2026-04-30,S0024,handpaint,mid,Cold_Detail,210,41,17,17,12,3,4,0,1,0,5
2026-01-01,S0025,solid,mid,Cold_AfterWant,70,34,14,13,28,2,3,1,0,1,5
2026-01-02,S0025,solid,mid,Cold_AfterWant,81,26,14,14,20,4,1,0,0,1,2
2026-01-03,S0025,solid,mid,Cold_AfterWant,95,36,25,22,20,3,0,3,0,1,4
2026-01-04,S0025,solid,mid,Cold_AfterWant,117,53,19,16,47,4,1,0,0,3,4
2026-01-05,S0025,solid,mid,Cold_AfterWant,107,41,17,15,44,4,1,0,1,2,4
2026-01-06,S0025,solid,mid,Cold_AfterWant,70,36,8,5,23,0,0,0,0,1,1
2026-01-07,S0025,solid,mid,Cold_AfterWant,59,29,11,10,21,3,2,0,0,0,2
2026-01-08,S0025,solid,mid,Cold_AfterWant,115,47,27,24,39,3,1,1,0,2,4
2026-01-09,S0025,solid,mid,Cold_AfterWant,79,32,16,13,32,3,0,0,1,1,2
2026-01-10,S0025,solid,mid,Cold_AfterWant,117,45,20,17,46,2,1,1,2,1,5
2026-01-11,S0025,solid,mid,Cold_AfterWant,138,53,26,24,38,4,1,0,1,1,3
2026-01-12,S0025,solid,mid,Cold_AfterWant,88,34,25,24,27,9,0,1,0,2,3
2026-01-13,S0025,solid,mid,Cold_AfterWant,77,24,17,15,18,2,1,0,0,0,1
2026-01-14,S0025,solid,mid,Cold_AfterWant,102,35,26,26,35,6,1,3,2,1,7
2026-01-15,S0025,solid,mid,Cold_AfterWant,67,20,14,14,20,0,1,1,1,0,3
2026-01-16,S0025,solid,mid,Cold_AfterWant,110,41,22,20,23,1,1,0,3,1,5
2026-01-17,S0025,solid,mid,Cold_AfterWant,103,37,28,25,34,4,4,2,0,3,9
2026-01-18,S0025,solid,mid,Cold_AfterWant,94,33,14,14,23,1,2,1,0,0,3
2026-01-19,S0025,solid,mid,Cold_AfterWant,60,27,13,11,11,0,1,0,1,0,2
2026-01-20,S0025,solid,mid,Cold_AfterWant,119,45,19,16,25,3,4,1,1,0,6
2026-01-21,S0025,solid,mid,Cold_AfterWant,69,32,17,14,18,1,1,0,0,0,1
2026-01-22,S0025,solid,mid,Cold_AfterWant,80,38,18,16,25,2,0,0,0,0,0
2026-01-23,S0025,solid,mid,Cold_AfterWant,50,22,12,9,20,1,2,0,1,1,4
2026-01-24,S0025,solid,mid,Cold_AfterWant,76,28,18,17,21,3,1,1,1,0,3
2026-01-25,S0025,solid,mid,Cold_AfterWant,115,55,20,14,25,1,2,2,0,2,6
2026-01-26,S0025,solid,mid,Cold_AfterWant,86,32,20,19,18,1,1,0,1,1,3
2026-01-27,S0025,solid,mid,Cold_AfterWant,84,29,19,15,32,4,0,0,0,0,0
2026-01-28,S0025,solid,mid,Cold_AfterWant,55,17,12,11,13,3,0,1,0,1,2
2026-01-29,S0025,solid,mid,Cold_AfterWant,90,45,23,21,30,5,0,0,2,1,3
2026-01-30,S0025,solid,mid,Cold_AfterWant,125,51,27,23,34,3,1,0,0,2,3
2026-01-31,S0025,solid,mid,Cold_AfterWant,55,30,11,10,21,2,0,0,0,1,1
2026-02-01,S0025,solid,mid,Cold_AfterWant,94,31,14,11,33,3,1,2,0,1,4
2026-02-02,S0025,solid,mid,Cold_AfterWant,200,69,27,26,47,6,3,1,1,2,7
2026-02-03,S0025,solid,mid,Cold_AfterWant,92,28,12,12,25,1,3,0,0,2,5
2026-02-04,S0025,solid,mid,Cold_AfterWant,145,65,26,20,35,4,2,0,1,3,6
2026-02-05,S0025,solid,mid,Cold_AfterWant,99,29,25,24,36,3,2,1,1,0,4
2026-02-06,S0025,solid,mid,Cold_AfterWant,84,36,13,13,26,2,4,2,0,1,7
2026-02-07,S0025,solid,mid,Cold_AfterWant,73,19,11,9,23,1,1,0,0,0,1
2026-02-08,S0025,solid,mid,Cold_AfterWant,113,46,12,12,34,2,2,1,0,0,3
2026-02-09,S0025,solid,mid,Cold_AfterWant,57,17,9,9,19,1,2,0,0,1,3
2026-02-10,S0025,solid,mid,Cold_AfterWant,115,49,19,18,37,3,1,0,0,2,3
2026-02-11,S0025,solid,mid,Cold_AfterWant,73,27,17,16,20,1,2,0,0,0,2
2026-02-12,S0025,solid,mid,Cold_AfterWant,69,25,15,13,20,3,3,0,1,0,4
2026-02-13,S0025,solid,mid,Cold_AfterWant,106,36,29,28,49,6,1,0,2,2,5
2026-02-14,S0025,solid,mid,Cold_AfterWant,131,52,26,23,31,7,0,2,0,0,2
2026-02-15,S0025,solid,mid,Cold_AfterWant,74,34,16,14,20,2,2,0,0,2,4
2026-02-16,S0025,solid,mid,Cold_AfterWant,63,23,11,11,16,1,2,0,1,0,3
2026-02-17,S0025,solid,mid,Cold_AfterWant,126,54,26,23,24,5,3,2,2,0,7
2026-02-18,S0025,solid,mid,Cold_AfterWant,58,16,13,11,18,1,1,0,1,0,2
2026-02-19,S0025,solid,mid,Cold_AfterWant,84,35,14,13,33,0,1,0,1,1,3
2026-02-20,S0025,solid,mid,Cold_AfterWant,131,62,25,23,30,2,3,1,0,0,4
2026-02-21,S0025,solid,mid,Cold_AfterWant,131,44,29,27,44,4,3,2,1,1,7
2026-02-22,S0025,solid,mid,Cold_AfterWant,93,27,19,17,26,4,2,0,1,1,4
2026-02-23,S0025,solid,mid,Cold_AfterWant,107,43,22,18,40,1,2,0,1,1,4
2026-02-24,S0025,solid,mid,Cold_AfterWant,93,38,23,21,25,1,0,0,0,1,1
2026-02-25,S0025,solid,mid,Cold_AfterWant,58,14,10,9,20,2,0,0,0,0,0
2026-02-26,S0025,solid,mid,Cold_AfterWant,93,29,20,15,28,1,1,0,0,2,3
2026-02-27,S0025,solid,mid,Cold_AfterWant,107,45,19,16,32,3,1,0,0,0,1
2026-02-28,S0025,solid,mid,Cold_AfterWant,90,33,19,17,31,5,4,1,0,2,7
2026-03-01,S0025,solid,mid,Cold_AfterWant,81,29,20,16,22,2,2,0,1,0,3
2026-03-02,S0025,solid,mid,Cold_AfterWant,74,30,19,18,25,7,3,0,1,0,4
2026-03-03,S0025,solid,mid,Cold_AfterWant,79,28,13,13,25,5,4,1,0,1,6
2026-03-04,S0025,solid,mid,Cold_AfterWant,58,27,8,6,13,1,2,0,0,0,2
2026-03-05,S0025,solid,mid,Cold_AfterWant,87,39,19,15,28,2,1,2,0,0,3
2026-03-06,S0025,solid,mid,Cold_AfterWant,117,54,26,23,46,3,1,1,1,2,5
2026-03-07,S0025,solid,mid,Cold_AfterWant,61,21,11,10,22,2,0,1,0,0,1
2026-03-08,S0025,solid,mid,Cold_AfterWant,142,55,29,23,40,5,3,1,2,0,6
2026-03-09,S0025,solid,mid,Cold_AfterWant,85,22,12,11,22,1,1,0,0,0,1
2026-03-10,S0025,solid,mid,Cold_AfterWant,110,28,26,24,43,6,1,0,0,0,1
2026-03-11,S0025,solid,mid,Cold_AfterWant,86,39,23,19,21,1,1,0,1,0,2
2026-03-12,S0025,solid,mid,Cold_AfterWant,76,23,16,15,26,1,2,1,0,1,4
2026-03-13,S0025,solid,mid,Cold_AfterWant,97,35,29,25,23,1,3,0,1,3,7
2026-03-14,S0025,solid,mid,Cold_AfterWant,115,35,17,17,40,2,0,1,0,1,2
2026-03-15,S0025,solid,mid,Cold_AfterWant,87,26,17,17,24,3,3,1,0,1,5
2026-03-16,S0025,solid,mid,Cold_AfterWant,76,29,23,22,31,1,1,0,1,1,3
2026-03-17,S0025,solid,mid,Cold_AfterWant,80,31,18,16,30,4,2,0,0,0,2
2026-03-18,S0025,solid,mid,Cold_AfterWant,78,38,16,16,26,2,0,2,1,0,3
2026-03-19,S0025,solid,mid,Cold_AfterWant,72,24,10,10,19,1,1,1,0,1,3
2026-03-20,S0025,solid,mid,Cold_AfterWant,133,54,27,24,46,2,2,1,0,1,4
2026-03-21,S0025,solid,mid,Cold_AfterWant,75,32,16,14,30,3,1,0,0,1,2
2026-03-22,S0025,solid,mid,Cold_AfterWant,66,25,8,6,18,2,0,1,0,0,1
2026-03-23,S0025,solid,mid,Cold_AfterWant,79,26,9,8,28,4,1,1,0,1,3
2026-03-24,S0025,solid,mid,Cold_AfterWant,101,35,15,14,40,2,0,1,0,1,2
2026-03-25,S0025,solid,mid,Cold_AfterWant,55,13,6,5,16,0,0,0,0,0,0
2026-03-26,S0025,solid,mid,Cold_AfterWant,107,31,20,19,30,1,0,0,0,2,2
2026-03-27,S0025,solid,mid,Cold_AfterWant,59,31,13,12,21,1,0,0,1,2,3
2026-03-28,S0025,solid,mid,Cold_AfterWant,96,39,20,18,25,2,1,2,0,1,4
2026-03-29,S0025,solid,mid,Cold_AfterWant,82,22,22,17,24,5,0,0,0,1,1
2026-03-30,S0025,solid,mid,Cold_AfterWant,118,44,28,24,32,2,1,2,1,1,5
2026-03-31,S0025,solid,mid,Cold_AfterWant,130,50,28,22,38,4,3,0,0,2,5
2026-04-01,S0025,solid,mid,Cold_AfterWant,94,34,16,14,20,4,2,0,0,1,3
2026-04-02,S0025,solid,mid,Cold_AfterWant,106,34,24,21,38,5,4,1,0,2,7
2026-04-03,S0025,solid,mid,Cold_AfterWant,68,25,10,10,17,0,2,0,0,0,2
2026-04-04,S0025,solid,mid,Cold_AfterWant,106,46,25,21,36,3,0,0,0,0,0
2026-04-05,S0025,solid,mid,Cold_AfterWant,122,49,35,31,47,8,1,1,0,3,5
2026-04-06,S0025,solid,mid,Cold_AfterWant,97,34,17,15,33,2,1,4,1,0,6
2026-04-07,S0025,solid,mid,Cold_AfterWant,83,27,17,15,21,0,1,0,1,1,3
2026-04-08,S0025,solid,mid,Cold_AfterWant,144,48,22,21,39,3,0,0,0,3,3
2026-04-09,S0025,solid,mid,Cold_AfterWant,100,38,19,18,41,5,1,0,0,1,2
2026-04-10,S0025,solid,mid,Cold_AfterWant,102,33,23,22,40,3,2,2,0,0,4
2026-04-11,S0025,solid,mid,Cold_AfterWant,112,34,21,20,33,3,6,1,0,0,7
2026-04-12,S0025,solid,mid,Cold_AfterWant,77,33,22,20,22,2,2,0,0,0,2
2026-04-13,S0025,solid,mid,Cold_AfterWant,73,22,15,14,25,4,1,0,1,0,2
2026-04-14,S0025,solid,mid,Cold_AfterWant,79,34,19,19,21,3,3,0,1,0,4
2026-04-15,S0025,solid,mid,Cold_AfterWant,47,17,7,5,14,0,1,1,0,1,3
2026-04-16,S0025,solid,mid,Cold_AfterWant,151,59,37,35,52,6,5,2,0,0,7
2026-04-17,S0025,solid,mid,Cold_AfterWant,64,27,15,13,15,1,3,0,0,0,3
2026-04-18,S0025,solid,mid,Cold_AfterWant,59,26,5,4,12,1,1,0,1,0,2
2026-04-19,S0025,solid,mid,Cold_AfterWant,100,41,19,16,32,4,1,0,0,2,3
2026-04-20,S0025,solid,mid,Cold_AfterWant,74,31,10,10,24,3,1,0,1,1,3
2026-04-21,S0025,solid,mid,Cold_AfterWant,87,28,10,10,35,2,2,2,0,1,5
2026-04-22,S0025,solid,mid,Cold_AfterWant,107,32,29,28,27,2,1,0,0,1,2
2026-04-23,S0025,solid,mid,Cold_AfterWant,64,17,15,13,16,2,1,0,0,0,1
2026-04-24,S0025,solid,mid,Cold_AfterWant,119,44,27,22,28,1,3,0,1,0,4
2026-04-25,S0025,solid,mid,Cold_AfterWant,63,22,10,9,18,2,1,0,0,1,2
2026-04-26,S0025,solid,mid,Cold_AfterWant,74,21,13,13,25,0,0,0,0,0,0
